,Records,Labels
0,emma by jane austen volum i chapter i emma woodhous handsom clever rich with comfort home happi disposit seem unit some of best bless of exist had live near twenti one year in world with veri littl distress or vex her she was youngest of two daughter of most affection indulg father had in consequ of her sister s marriag been mistress of his hous from veri earli period her mother had die too long ago for her have more than indistinct remembr of her caress her place had been suppli by excel woman as gover who had fallen littl short of mother in affect sixteen year had miss taylor been in mr woodhous s famili less as gover than friend veri fond of both daughter but particular of emma between them was more intimaci of sister even befor miss taylor had ceas hold nomin offic of gover mild of,austen-emma
1,her temper had hard allow her impos ani restraint shadow of author be now long pass away they had been live togeth as friend friend veri mutual attach emma do just what she like high esteem miss taylor s judgment but direct chiefli by her own the real evil inde of emma s situat were power of have rather too much her own way disposit think littl too well of herself these were disadvantag which threaten alloy her mani enjoy the danger howev was at present so unperceiv they did not by ani mean rank as misfortun with her sorrow came gentl sorrow but not at all in shape of ani disagre conscious miss taylor marri it was miss taylor s loss which first brought grief it was on wed day of belov friend emma first sat in mourn thought of ani continu the wed over bride peopl gone her,austen-emma
2,father herself were left dine togeth with no prospect of third cheer long even her father compos himself sleep after dinner as usual she had then onli sit think of what she had lost the event had everi promis of happi for her friend mr weston was man of unexception charact easi fortun suitabl age pleasant manner there was some satisfact in consid with what self deni generous friendship she had alway wish promot match but was black morn s work for her the want of miss taylor would be felt everi hour of everi day she recal her past kind kind affect of sixteen year how she had taught how she had play with her from five year old how she had devot all her power attach amus her in health how nurs her through various ill of childhood a larg debt of gratitud was owe here but intercours,austen-emma
3,of last seven year equal foot perfect unreserv which had soon follow isabella s marriag on their be left each other was yet dearer tender recollect she had been friend companion such as few possess intellig well inform use gentl know all way of famili interest in all it concern peculiar interest in herself in everi pleasur everi scheme of her one whom she could speak everi thought as aros who had such affect for her as could never find fault how was she bear chang it was true her friend was go onli half mile from them but emma was awar great must be differ between mrs weston onli half mile from them miss taylor in hous with all her advantag natur domest she was now in great danger of suffer from intellectu solitud she dear love her father but he was no companion for her he could not,austen-emma
4,meet her in convers ration or play the evil of actual dispar in their age mr woodhous had not marri earli was much increas by his constitut habit for have been valetudinarian all his life without activ of mind or bodi he was much older man in way than in year though everywher belov for friendli of his heart his amiabl temper his talent could not have recommend him at ani time her sister though compar but littl remov by matrimoni be settl in london onli sixteen mile off was much beyond her daili reach mani long octob novemb even must be struggl through at hartfield befor christma brought next visit from isabella her husband their littl children fill hous give her pleasant societi again highburi larg popul villag almost amount town which hartfield in spite of it separ lawn shrubberi name did realli belong afford her no equal the,austen-emma
5,woodhous were first in consequ there all look up them she had mani acquaint in place for her father was univers civil but not one among them who could be accept in lieu of miss taylor for even half day it was melancholi chang emma could not but sigh over wish for imposs thing till her father awok made necessari be cheer his spirit requir support he was nervous man easili depress fond of everi bodi he was use hate part with them hate chang of everi kind matrimoni as origin of chang was alway disagre he was by no mean yet reconcil his own daughter s marri nor could ever speak of her but with compass though had been entir match of affect when he was now oblig part with miss taylor too from his habit of gentl selfish of be never abl suppos other peopl could feel differ,austen-emma
6,from himself he was veri much dispos think miss taylor had done as sad thing for herself as for them would have been great deal happier if she had spent all rest of her life at hartfield emma smile chat as cheer as she could keep him from such thought but when tea came was imposs for him not say exact as he had said at dinner poor miss taylor i wish she were here again what piti mr weston ever thought of her i cannot agre with you papa you know i cannot mr weston such good humour pleasant excel man he thorough deserv good wife you would not have had miss taylor live with us for ever bear all my odd humour when she might have hous of her own a hous of her own but where advantag of hous of her own this three time as larg,austen-emma
7,and you have never ani odd humour my dear how often we shall be go see them they come see us we shall be alway meet we must begin we must go pay wed visit veri soon my dear how am i get so far randal such distanc i could not walk half so far no papa nobodi thought of your walk we must go in carriag be sure the carriag but jame will not like put hors for such littl way where are poor hors be while we are pay our visit they are be put into mr weston s stabl papa you know we have settl all alreadi we talk all over with mr weston last night and as for jame you may be veri sure he will alway like go randal becaus of his daughter s be housemaid there i onli doubt whether he will ever take,austen-emma
8,us anywher els that was your do papa you got hannah good place nobodi thought of hannah till you mention her jame so oblig you i am veri glad i did think of her it was veri lucki for i would not have had poor jame think himself slight upon ani account i am sure she will make veri good servant she civil pretti spoken girl i have great opinion of her whenev i see her she alway curtsey ask me how i do in veri pretti manner when you have had her here do needlework i observ she alway turn lock of door right way never bang i am sure she will be excel servant will be great comfort poor miss taylor have somebodi about her she use see whenev jame goe over see his daughter you know she will be hear of us he will be abl tell,austen-emma
9,her how we all are emma spare no exert maintain happier flow of idea hope by help of backgammon get her father toler through even be attack by no regret but her own the backgammon tabl was place but visitor immedi afterward walk in made unnecessari mr knightley sensibl man about seven or eight thirti was not onli veri old intim friend of famili but particular connect with as elder brother of isabella s husband he live about mile from highburi was frequent visitor alway welcom at time more welcom than usual as come direct from their mutual connexion in london he had return late dinner after some day absenc now walk up hartfield say all were well in brunswick squar it was happi circumst anim mr woodhous for some time mr knightley had cheer manner which alway did him good his mani inquiri after poor isabella her children were,austen-emma
